# exported by fityk 0.8.7
#1-Zn:x	1-Zn:y	1-Zn:s	1-Zn:F(x)	1-Zn:%_1(x)	1-Zn:%_2(x)	1-Zn:%_3(x)	1-Zn:a
3.83	20	4.47214	3.30382e-016	2.12263e-087	8.41361e-142	3.30382e-016	1
3.85	24	4.89898	6.35398e-016	1.21618e-086	8.57173e-141	6.35398e-016	1
3.86	38	6.16441	8.79473e-016	2.90309e-086	2.72762e-140	8.79473e-016	1
3.88	35	5.91608	1.67841e-015	1.6451e-085	2.7451e-139	1.67841e-015	1
3.89	29	5.38516	2.31419e-015	3.90537e-085	8.68193e-139	2.31419e-015	1
3.91	29	5.38516	4.38248e-015	2.1888e-084	8.63134e-138	4.38248e-015	1
3.92	27	5.19615	6.01925e-015	5.16748e-084	2.71319e-137	6.01925e-015	1
3.94	34	5.83095	1.13112e-014	2.86439e-083	2.66459e-136	1.13112e-014	1
3.96	29	5.38516	2.11466e-014	1.57613e-082	2.5956e-135	2.11466e-014	1
3.97	28	5.2915	2.88581e-014	3.687e-082	8.07633e-135	2.88581e-014	1
3.99	26	5.09902	5.35359e-014	2.00651e-081	7.77159e-134	5.35359e-014	1
4	25	5	7.27771e-014	4.66798e-081	2.40342e-133	7.27771e-014	1
4.02	29	5.38516	1.33973e-013	2.51251e-080	2.28461e-132	1.33973e-013	1
4.04	28	5.2915	2.4536e-013	1.34244e-079	2.15404e-131	2.4536e-013	1
4.05	27	5.19615	3.31405e-013	3.09449e-079	6.59398e-131	3.31405e-013	1
4.07	31	5.56776	6.0227e-013	1.63525e-078	6.14154e-130	6.0227e-013	1
4.08	30	5.47723	8.10343e-013	3.74874e-078	1.86859e-129	8.10343e-013	1
4.1	29	5.38516	1.46133e-012	1.95925e-077	1.71922e-128	1.46133e-012	1
4.11	33	5.74456	1.95861e-012	4.46679e-077	5.1989e-128	1.95861e-012	1
4.13	32	5.65685	3.50487e-012	2.30893e-076	4.72516e-127	3.50487e-012	1
4.15	38	6.16441	6.23963e-012	1.18477e-075	4.25971e-126	6.23963e-012	1
4.16	32	5.65685	8.3093e-012	2.67637e-075	1.27507e-125	8.3093e-012	1
4.18	40	6.32456	1.4679e-011	1.35824e-074	1.13549e-124	1.4679e-011	1
4.19	24	4.89898	1.94727e-011	3.05138e-074	3.37818e-124	1.94727e-011	1
4.21	30	5.47723	3.41354e-011	1.53157e-073	2.97181e-123	3.41354e-011	1
4.23	23	4.79583	5.95316e-011	7.63108e-073	2.5931e-122	5.95316e-011	1
4.24	36	6	7.84659e-011	1.69868e-072	7.63641e-122	7.84659e-011	1
4.26	43	6.55744	1.35791e-010	8.37087e-072	6.58225e-121	1.35791e-010	1
4.27	35	5.91608	1.78289e-010	1.85311e-071	1.92659e-120	1.78289e-010	1
4.29	37	6.08276	3.06168e-010	9.03171e-071	1.64044e-119	3.06168e-010	1
4.3	46	6.78233	4.00441e-010	1.98841e-070	4.77221e-119	4.00441e-010	1
4.32	45	6.7082	6.82368e-010	9.58483e-070	4.01403e-118	6.82368e-010	1
4.34	31	5.56776	1.15681e-009	4.58637e-069	3.34888e-117	1.15681e-009	1
4.35	40	6.32456	1.5033e-009	1.00049e-068	9.64341e-117	1.5033e-009	1
4.37	44	6.63325	2.52892e-009	4.73487e-068	7.94762e-116	2.52892e-009	1
4.38	47	6.85565	3.27372e-009	1.02721e-067	2.27464e-115	3.27372e-009	1
4.4	48	6.9282	5.46484e-009	4.80797e-067	1.85186e-114	5.46484e-009	1
4.42	62	7.87401	9.07563e-009	2.23394e-066	1.49541e-113	9.07563e-009	1
4.43	52	7.2111	1.16732e-008	4.80209e-066	4.23651e-113	1.16732e-008	1
4.45	50	7.07107	1.92368e-008	2.20674e-065	3.37947e-112	1.92368e-008	1
4.46	51	7.14143	2.46472e-008	4.71752e-065	9.51571e-112	2.46472e-008	1
4.48	52	7.2111	4.03049e-008	2.1441e-064	7.49841e-111	4.03049e-008	1
4.49	40	6.32456	5.14416e-008	4.55839e-064	2.09848e-110	5.14416e-008	1
4.51	37	6.08276	8.3474e-008	2.04905e-063	1.63351e-109	8.3474e-008	1
4.53	50	7.07107	1.34757e-007	9.14322e-063	1.26124e-108	1.34757e-007	1
4.54	31	5.56776	1.70889e-007	1.92608e-062	3.49386e-108	1.70889e-007	1
4.56	55	7.4162	2.73753e-007	8.50026e-062	2.66482e-107	2.73753e-007	1
4.57	50	7.07107	3.45815e-007	1.78079e-061	7.33703e-107	3.45815e-007	1
4.59	36	6	5.49713e-007	7.77284e-061	5.52803e-106	5.49713e-007	1
4.6	40	6.32456	6.91741e-007	1.61944e-060	1.51275e-105	6.91741e-007	1
4.62	52	7.2111	1.09114e-006	6.99104e-060	1.12591e-104	1.09114e-006	1
4.64	51	7.14143	1.71231e-006	2.99589e-059	8.31192e-104	1.71231e-006	1
4.65	57	7.54983	2.14089e-006	6.18471e-059	2.2515e-103	2.14089e-006	1
4.67	41	6.40312	3.33382e-006	2.62127e-058	1.64193e-102	3.33382e-006	1
4.68	61	7.81025	4.15219e-006	5.3816e-058	4.42047e-102	4.15219e-006	1
4.7	38	6.16441	6.41608e-006	2.25587e-057	3.18449e-101	6.41608e-006	1
4.72	49	7	9.8634e-006	9.38694e-057	2.27547e-100	9.8634e-006	1
4.73	44	6.63325	1.22058e-005	1.90955e-056	6.06398e-100	1.22058e-005	1
4.75	51	7.14143	1.86195e-005	7.8587e-056	4.28031e-099	1.86195e-005	1
4.76	45	6.7082	2.29526e-005	1.58987e-055	1.13372e-098	2.29526e-005	1
4.78	56	7.48331	3.4744e-005	6.47131e-055	7.90518e-098	3.4744e-005	1
4.79	48	6.9282	4.26644e-005	1.30199e-054	2.08107e-097	4.26644e-005	1
4.81	35	5.91608	6.40854e-005	5.24141e-054	1.43344e-096	6.40854e-005	1
4.83	39	6.245	9.57673e-005	2.09457e-053	9.79334e-096	9.57673e-005	1
4.84	21	4.58258	0.000116844	4.17561e-053	2.55199e-095	0.000116844	1
4.86	44	6.63325	0.000173265	1.65035e-052	1.72234e-094	0.000173265	1
4.87	34	5.83095	0.000210583	3.27194e-052	4.46077e-094	0.000210583	1
4.89	35	5.91608	0.000309866	1.279e-051	2.97397e-093	0.000309866	1
4.91	44	6.63325	0.000453614	4.96299e-051	1.96663e-092	0.000453614	1
4.92	39	6.245	0.000547778	9.74948e-051	5.04182e-092	0.000547778	1
4.94	28	5.2915	0.000795726	3.74165e-050	3.29352e-091	0.000795726	1
4.95	33	5.74456	0.000957204	7.30982e-050	8.39207e-091	0.000957204	1
4.97	30	5.47723	0.00137978	2.77459e-049	5.41539e-090	0.00137978	1
4.98	41	6.40312	0.00165338	5.39073e-049	1.37146e-089	0.00165338	1
5	34	5.83095	0.00236496	2.02371e-048	8.74241e-089	0.00236496	1
5.02	43	6.55744	0.0033654	7.54149e-048	5.52762e-088	0.0033654	1
5.03	38	6.16441	0.00400688	1.45182e-047	1.38568e-087	0.00400688	1
5.05	29	5.38516	0.00565804	5.35096e-047	8.65484e-087	0.00565804	1
5.06	34	5.83095	0.00671054	1.02446e-046	2.1564e-086	0.00671054	1
5.08	35	5.91608	0.00940292	3.73441e-046	1.33049e-085	0.00940292	1
5.1	28	5.2915	0.0131079	1.35131e-045	8.14239e-085	0.0131079	1
5.11	32	5.65685	0.0154464	2.56346e-045	2.00814e-084	0.0154464	1
5.13	20	4.47214	0.021367	9.17425e-045	1.21401e-083	0.021367	1
5.14	36	6	0.025082	1.73079e-044	2.97584e-083	0.025082	1
5.16	45	6.7082	0.034429	6.12632e-044	1.77716e-082	0.034429	1
5.17	38	6.16441	0.0402593	1.14942e-043	4.32969e-082	0.0402593	1
5.19	35	5.91608	0.0548368	4.02387e-043	2.55423e-081	0.0548368	1
5.21	33	5.74456	0.0743093	1.39835e-042	1.49459e-080	0.0743093	1
5.22	31	5.56776	0.0863356	2.59958e-042	3.60435e-080	0.0863356	1
5.24	24	4.89898	0.116093	8.93477e-042	2.08342e-079	0.116093	1
5.25	33	5.74456	0.134362	1.65187e-041	4.99372e-079	0.134362	1
5.27	37	6.08276	0.179282	5.61522e-041	2.85143e-078	0.179282	1
5.29	30	5.47723	0.237993	1.8948e-040	1.61495e-077	0.237993	1
5.3	33	5.74456	0.273677	3.47108e-040	3.83159e-077	0.273677	1
5.32	32	5.65685	0.360504	1.15844e-039	2.1437e-076	0.360504	1
5.33	45	6.7082	0.412959	2.11047e-039	5.05508e-076	0.412959	1
5.35	34	5.83095	0.539789	6.96619e-039	2.79383e-075	0.539789	1
5.36	27	5.19615	0.615948	1.26214e-038	6.54799e-075	0.615948	1
5.38	27	5.19615	0.798927	4.12034e-038	3.57493e-074	0.798927	1
5.4	29	5.38516	1.03094	1.33526e-037	1.93591e-073	1.03094	1
5.41	31	5.56776	1.16885	2.3971e-037	4.49125e-073	1.16885	1
5.43	32	5.65685	1.49669	7.68297e-037	2.40255e-072	1.49669	1
5.44	37	6.08276	1.69036	1.37168e-036	5.53985e-072	1.69036	1
5.46	39	6.245	2.14782	4.34817e-036	2.92747e-071	2.14782	1
5.48	30	5.47723	2.71507	1.36825e-035	1.53442e-070	2.71507	1
5.49	23	4.79583	3.04672	2.42046e-035	3.50221e-070	3.04672	1
5.51	29	5.38516	3.82174	7.533e-035	1.81335e-069	3.82174	1
5.52	38	6.16441	4.27205	1.32527e-034	4.11362e-069	4.27205	1
5.54	29	5.38516	5.31753	4.07929e-034	2.10403e-068	5.31753	1
5.55	35	5.91608	5.92118	7.13719e-034	4.74392e-068	5.92118	1
5.57	28	5.2915	7.31354	2.17278e-033	2.39691e-067	7.31354	1
5.59	28	5.2915	8.98692	6.56618e-033	1.20123e-066	8.98692	1
5.6	26	5.09902	9.94292	1.13832e-032	2.68093e-066	9.94292	1
5.62	31	5.56776	12.1239	3.40227e-032	1.32723e-065	12.1239	1
5.63	36	6	13.3619	5.86576e-032	2.94408e-065	13.3619	1
5.65	31	5.56776	16.1675	1.73396e-031	1.43979e-064	16.1675	1
5.67	33	5.74456	19.4618	5.08818e-031	6.98403e-064	19.4618	1
5.68	37	6.08276	21.3115	8.69213e-031	1.53349e-063	21.3115	1
5.7	51	7.14143	25.4564	2.52266e-030	7.34814e-063	25.4564	1
5.71	34	5.83095	27.7684	4.28575e-030	1.6036e-062	27.7684	1
5.73	39	6.245	32.914	1.23018e-029	7.59067e-062	32.914	1
5.74	50	7.07107	35.765	2.07846e-029	1.64643e-061	35.765	1
