# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
6.47	39	6.245	2.27288e-006	2.27288e-006	1.76044e-026	1
6.49	48	6.9282	3.96872e-006	3.96872e-006	5.24635e-026	1
6.5	62	7.87401	5.2299e-006	5.2299e-006	9.02589e-026	1
6.52	52	7.2111	9.03214e-006	9.03214e-006	2.6533e-025	1
6.54	34	5.83095	1.54847e-005	1.54847e-005	7.72902e-025	1
6.55	50	7.07107	2.02193e-005	2.02193e-005	1.31464e-024	1
6.57	36	6	3.4285e-005	3.4285e-005	3.77753e-024	1
6.58	49	7	4.45224e-005	4.45224e-005	6.3815e-024	1
6.6	44	6.63325	7.46689e-005	7.46689e-005	1.80877e-023	1
6.61	38	6.16441	9.64331e-005	9.64331e-005	3.03479e-023	1
6.63	55	7.4162	0.00015996	0.00015996	8.48498e-023	1
6.65	61	7.81025	0.000263398	0.000263398	2.35079e-022	1
6.66	38	6.16441	0.000337069	0.000337069	3.89952e-022	1
6.68	55	7.4162	0.000548964	0.000548964	1.0657e-021	1
6.69	49	7	0.000698654	0.000698654	1.75575e-021	1
6.71	46	6.78233	0.00112541	0.00112541	4.73314e-021	1
