# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
2.83	25	5	1.40073e-020	1.5692e-109	2.09022e-184	1.40073e-020	1
2.85	25	5	2.48769e-020	9.47376e-109	2.69562e-183	2.48769e-020	1
2.86	28	5.2915	3.31127e-020	2.32233e-108	9.65266e-183	3.31127e-020	1
2.88	24	4.89898	5.85252e-020	1.38895e-107	1.23066e-181	5.85252e-020	1
2.9	19	4.3589	1.03109e-019	8.25517e-107	1.55708e-180	1.03109e-019	1
2.91	22	4.69042	1.36694e-019	2.00782e-106	5.52275e-180	1.36694e-019	1
2.93	32	5.65685	2.39668e-019	1.18218e-105	6.90803e-179	2.39668e-019	1
2.94	31	5.56776	3.16969e-019	2.86181e-105	2.43619e-178	3.16969e-019	1
2.96	27	5.19615	5.53076e-019	1.66923e-104	3.01255e-177	5.53076e-019	1
2.98	28	5.2915	9.61959e-019	9.67541e-104	3.69694e-176	9.61959e-019	1
2.99	28	5.2915	1.26713e-018	2.32394e-103	1.29138e-175	1.26713e-018	1
3.01	27	5.19615	2.1933e-018	1.33443e-102	1.5667e-174	2.1933e-018	1
3.02	14	3.74166	2.88214e-018	3.19015e-102	5.44138e-174	2.88214e-018	1
3.04	27	5.19615	4.96479e-018	1.81467e-101	6.52631e-173	4.96479e-018	1
3.05	30	5.47723	6.50835e-018	4.31789e-101	2.25374e-172	6.50835e-018	1
3.07	28	5.2915	1.11574e-017	2.43319e-100	2.67231e-171	1.11574e-017	1
3.09	26	5.09902	1.90661e-017	1.36257e-099	3.14451e-170	1.90661e-017	1
3.1	22	4.69042	2.48936e-017	3.21685e-099	1.07558e-169	2.48936e-017	1
3.12	29	5.38516	4.23343e-017	1.78456e-098	1.25122e-168	4.23343e-017	1
3.13	35	5.91608	5.51406e-017	4.19336e-098	4.25537e-168	5.51406e-017	1
3.15	23	4.79583	9.33219e-017	2.30452e-097	4.8939e-167	9.33219e-017	1
3.17	33	5.74456	1.57435e-016	1.25857e-096	5.58542e-166	1.57435e-016	1
3.18	29	5.38516	2.04237e-016	2.9343e-096	1.88154e-165	2.04237e-016	1
3.2	34	5.83095	3.42893e-016	1.58752e-095	2.12294e-164	3.42893e-016	1
3.21	22	4.69042	4.43759e-016	3.68387e-095	7.11063e-164	4.43759e-016	1
3.23	24	4.89898	7.41443e-016	1.9744e-094	7.93157e-163	7.41443e-016	1
3.24	29	5.38516	9.57238e-016	4.56016e-094	2.64144e-162	9.57238e-016	1
3.26	21	4.58258	1.59169e-015	2.42119e-093	2.91284e-161	1.59169e-015	1
3.28	24	4.89898	2.63815e-015	1.27749e-092	3.1877e-160	2.63815e-015	1
3.29	28	5.2915	3.39233e-015	2.92751e-092	1.05151e-159	3.39233e-015	1
3.31	33	5.74456	5.59561e-015	1.53018e-091	1.13762e-158	5.59561e-015	1
3.32	25	5	7.17792e-015	3.49015e-091	3.73119e-158	7.17792e-015	1
3.34	31	5.56776	1.1783e-014	1.8072e-090	3.99077e-157	1.1783e-014	1
3.36	29	5.38516	1.92804e-014	9.2992e-090	4.23595e-156	1.92804e-014	1
3.37	25	5	2.46333e-014	2.10448e-089	1.37611e-155	2.46333e-014	1
3.39	20	4.47214	4.01136e-014	1.07276e-088	1.44402e-154	4.01136e-014	1
3.4	30	5.47723	5.11272e-014	2.41635e-088	4.66432e-154	5.11272e-014	1
