# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_4(x)	2-Fe:%_5(x)	2-Fe:a
3.75	39	6.245	1.03177e-024	1.03177e-024	7.51908e-065	1
3.77	17	4.12311	2.67548e-024	2.67548e-024	4.71033e-064	1
3.78	23	4.79583	4.29667e-024	4.29667e-024	1.17409e-063	1
3.8	31	5.56776	1.10213e-023	1.10213e-023	7.23448e-063	1
3.81	35	5.91608	1.76036e-023	1.76036e-023	1.78841e-062	1
3.83	20	4.47214	4.46667e-023	4.46667e-023	1.08392e-061	1
3.85	23	4.79583	1.12517e-022	1.12517e-022	6.49738e-061	1
3.86	25	5	1.78097e-022	1.78097e-022	1.58422e-060	1
3.88	17	4.12311	4.43786e-022	4.43786e-022	9.34068e-060	1
3.89	23	4.79583	6.98639e-022	6.98639e-022	2.25874e-059	1
3.91	17	4.12311	1.72207e-021	1.72207e-021	1.30994e-058	1
3.92	13	3.60555	2.69631e-021	2.69631e-021	3.14158e-058	1
3.94	16	4	6.5743e-021	6.5743e-021	1.79207e-057	1
3.96	14	3.74166	1.59141e-020	1.59141e-020	1.01105e-056	1
3.97	12	3.4641	2.46928e-020	2.46928e-020	2.3916e-056	1
3.99	18	4.24264	5.91269e-020	5.91269e-020	1.32718e-055	1
4	16	4	9.12459e-020	9.12459e-020	3.11355e-055	1
4.02	19	4.3589	2.16127e-019	2.16127e-019	1.69949e-054	1
4.04	18	4.24264	5.0823e-019	5.0823e-019	9.17473e-054	1
4.05	19	4.3589	7.77241e-019	7.77241e-019	2.12293e-053	1
4.07	33	5.74456	1.80796e-018	1.80796e-018	1.12728e-052	1
4.08	20	4.47214	2.74994e-018	2.74994e-018	2.58695e-052	1
4.1	16	4	6.32757e-018	6.32757e-018	1.35116e-051	1
4.11	15	3.87298	9.57225e-018	9.57225e-018	3.07517e-051	1
4.13	23	4.79583	2.17876e-017	2.17876e-017	1.57982e-050	1
4.15	17	4.12311	4.92331e-017	4.92331e-017	8.02715e-050	1
4.16	15	3.87298	7.38078e-017	7.38078e-017	1.80195e-049	1
4.18	14	3.74166	1.6498e-016	1.6498e-016	9.0057e-049	1
4.19	19	4.3589	2.4599e-016	2.4599e-016	2.00498e-048	1
4.21	17	4.12311	5.43913e-016	5.43913e-016	9.85609e-048	1
4.23	22	4.69042	1.19397e-015	1.19397e-015	4.79197e-047	1
4.24	14	3.74166	1.7642e-015	1.7642e-015	1.05226e-046	1
4.26	19	4.3589	3.83085e-015	3.83085e-015	5.03215e-046	1
4.27	20	4.47214	5.62975e-015	5.62975e-015	1.09591e-045	1
4.29	26	5.09902	1.20925e-014	1.20925e-014	5.15496e-045	1
4.3	24	4.89898	1.76747e-014	1.76747e-014	1.11341e-044	1
4.32	22	4.69042	3.75545e-014	3.75545e-014	5.15144e-044	1
4.34	18	4.24264	7.92183e-014	7.92183e-014	2.3573e-043	1
4.35	18	4.24264	1.14743e-013	1.14743e-013	5.02184e-043	1
4.37	25	5	2.39427e-013	2.39427e-013	2.26032e-042	1
4.38	28	5.2915	3.44918e-013	3.44918e-013	4.77561e-042	1
4.4	23	4.79583	7.11938e-013	7.11938e-013	2.11426e-041	1
4.42	21	4.58258	1.45889e-012	1.45889e-012	9.25763e-041	1
4.43	16	4	2.08273e-012	2.08273e-012	1.9292e-040	1
4.45	23	4.79583	4.22178e-012	4.22178e-012	8.30883e-040	1
4.46	19	4.3589	5.99442e-012	5.99442e-012	1.71722e-039	1
4.48	24	4.89898	1.20196e-011	1.20196e-011	7.27463e-039	1
4.49	15	3.87298	1.6974e-011	1.6974e-011	1.49111e-038	1
4.51	18	4.24264	3.36673e-011	3.36673e-011	6.21318e-038	1
4.53	29	5.38516	6.62959e-011	6.62959e-011	2.56055e-037	1
4.54	25	5	9.27783e-011	9.27783e-011	5.17664e-037	1
4.56	34	5.83095	1.8072e-010	1.8072e-010	2.0984e-036	1
4.57	31	5.56776	2.5154e-010	2.5154e-010	4.2074e-036	1
4.59	21	4.58258	4.84673e-010	4.84673e-010	1.67755e-035	1
4.6	29	5.38516	6.7095e-010	6.7095e-010	3.33589e-035	1
4.62	25	5	1.27883e-009	1.27883e-009	1.30826e-034	1
4.64	32	5.65685	2.41986e-009	2.41986e-009	5.07447e-034	1
4.65	29	5.38516	3.31971e-009	3.31971e-009	9.95277e-034	1
4.67	24	4.89898	6.21381e-009	6.21381e-009	3.79718e-033	1
4.68	31	5.56776	8.47828e-009	8.47828e-009	7.38628e-033	1
4.7	26	5.09902	1.56981e-008	1.56981e-008	2.77182e-032	1
4.72	28	5.2915	2.88564e-008	2.88564e-008	1.02877e-031	1
4.73	24	4.89898	3.90175e-008	3.90175e-008	1.97378e-031	1
4.75	29	5.38516	7.09471e-008	7.09471e-008	7.20563e-031	1
4.76	34	5.83095	9.54097e-008	9.54097e-008	1.37108e-030	1
4.78	28	5.2915	1.71613e-007	1.71613e-007	4.92333e-030	1
4.79	30	5.47723	2.29535e-007	2.29535e-007	9.29098e-030	1
4.81	30	5.47723	4.08401e-007	4.08401e-007	3.28154e-029	1
4.83	50	7.07107	7.21404e-007	7.21404e-007	1.14632e-028	1
4.84	16	4	9.56192e-007	9.56192e-007	2.13367e-028	1
4.86	27	5.19615	1.67078e-006	1.67078e-006	7.33125e-028	1
4.87	17	4.12311	2.20255e-006	2.20255e-006	1.35334e-027	1
4.89	21	4.58258	3.80698e-006	3.80698e-006	4.57383e-027	1
4.91	28	5.2915	6.53266e-006	6.53266e-006	1.52885e-026	1
4.92	21	4.58258	8.53425e-006	8.53425e-006	2.78365e-026	1
4.94	24	4.89898	1.44862e-005	1.44862e-005	9.1521e-026	1
4.95	27	5.19615	1.88222e-005	1.88222e-005	1.65265e-025	1
4.97	23	4.79583	3.16041e-005	3.16041e-005	5.3445e-025	1
4.98	23	4.79583	4.08413e-005	4.08413e-005	9.57143e-025	1
5	28	5.2915	6.78348e-005	6.78348e-005	3.04457e-024	1
5.02	26	5.09902	0.000111856	0.000111856	9.5783e-024	1
5.03	24	4.89898	0.000143247	0.000143247	1.6919e-023	1
5.05	28	5.2915	0.000233654	0.000233654	5.23551e-023	1
5.06	11	3.31662	0.000297603	0.000297603	9.17184e-023	1
5.08	37	6.08276	0.000480184	0.000480184	2.79165e-022	1
5.1	24	4.89898	0.000769188	0.000769188	8.40389e-022	1
5.11	26	5.09902	0.000970879	0.000970879	1.45209e-021	1
5.13	25	5	0.0015384	0.0015384	4.29967e-021	1
5.14	32	5.65685	0.00193127	0.00193127	7.36818e-021	1
5.16	17	4.12311	0.00302713	0.00302713	2.14596e-020	1
5.17	27	5.19615	0.00377959	0.00377959	3.64718e-020	1
5.19	23	4.79583	0.00586021	0.00586021	1.04481e-019	1
5.21	33	5.74456	0.0090206	0.0090206	2.9603e-019	1
5.22	30	5.47723	0.0111614	0.0111614	4.96236e-019	1
5.24	32	5.65685	0.016995	0.016995	1.38295e-018	1
5.25	26	5.09902	0.0209143	0.0209143	2.29916e-018	1
5.27	44	6.63325	0.0315013	0.0315013	6.30242e-018	1
5.29	32	5.65685	0.0471051	0.0471051	1.70868e-017	1
5.3	39	6.245	0.0574458	0.0574458	2.80183e-017	1
5.32	25	5	0.0849726	0.0849726	7.47161e-017	1
