#x, y, a, F(x), F[0](x), F[1](x)
470 498 1 438.478 0 0
471 427 1 439.81 0 0
472 458 1 441.032 0 0
473 468 1 442.143 0 0
474 453 1 443.142 0 0
475 472 1 444.026 0 0
476 426 1 444.796 0 0
477 468 1 445.449 0 0
478 482 1 445.986 0 0
479 454 1 446.405 0 0
480 502 1 446.706 0 0
481 461 1 446.889 0 0
482 453 1 446.953 0 0
483 409 1 446.899 0 0
484 435 1 446.727 0 0
485 440 1 446.437 0 0
486 452 1 446.031 0 0
487 438 1 445.509 0 0
488 415 1 444.872 0 0
489 417 1 444.122 0 0
490 429 1 443.259 0 0
491 418 1 442.285 0 0
492 397 1 441.203 0 0
493 399 1 440.014 0 0
494 445 1 438.72 0 0
495 426 1 437.323 0 0
496 435 1 435.826 0 0
497 362 1 434.231 0 0
498 411 1 432.541 0 0
499 390 1 430.759 0 0
500 378 1 428.888 0 0
501 377 1 426.93 0 0
502 377 1 424.889 0 0
503 391 1 422.768 0 0
504 387 1 420.57 0 0
505 427 1 418.3 0 0
506 385 1 415.959 0 0
507 425 1 413.553 0 0
508 370 1 411.083 0 0
509 376 1 408.555 0 0
510 367 1 405.972 0 0
511 400 1 403.338 0 0
512 363 1 400.655 0 0
513 360 1 397.929 0 0
514 373 1 395.163 0 0
515 367 1 392.36 0 0
516 350 1 389.525 0 0
517 401 1 386.661 0 0
518 361 1 383.772 0 0
519 375 1 380.862 0 0
520 349 1 377.935 0 0
521 366 1 374.993 0 0
522 368 1 372.041 0 0
523 351 1 369.082 0 0
524 347 1 366.12 0 0
525 334 1 363.157 0 0
526 348 1 360.198 0 0
527 365 1 357.246 0 0
528 406 1 354.303 0 0
529 358 1 351.373 0 0
530 374 1 348.459 0 0
531 364 1 345.563 0 0
532 352 1 342.689 0 0
533 364 1 339.838 0 0
534 345 1 337.014 0 0
535 380 1 334.22 0 0
536 337 1 331.456 0 0
537 331 1 328.726 0 0
538 340 1 326.032 0 0
539 320 1 323.375 0 0
540 350 1 320.758 0 0
541 328 1 318.182 0 0
542 337 1 315.648 0 0
543 324 1 313.16 0 0
544 344 1 310.717 0 0
545 334 1 308.321 0 0
546 313 1 305.973 0 0
547 334 1 303.674 0 0
548 335 1 301.426 0 0
549 346 1 299.228 0 0
550 322 1 297.083 0 0
551 323 1 294.99 0 0
552 303 1 292.949 0 0
553 315 1 290.962 0 0
554 305 1 289.029 0 0
555 295 1 287.149 0 0
556 285 1 285.324 0 0
557 320 1 283.552 0 0
558 305 1 281.834 0 0
559 312 1 280.17 0 0
560 284 1 278.56 0 0
561 319 1 277.003 0 0
562 275 1 275.499 0 0
563 289 1 274.047 0 0
564 291 1 272.648 0 0
565 293 1 271.3 0 0
566 313 1 270.003 0 0
567 281 1 268.757 0 0
568 267 1 267.559 0 0
569 307 1 266.411 0 0
570 279 1 265.311 0 0
571 308 1 264.258 0 0
572 256 1 263.251 0 0
573 273 1 262.29 0 0
574 268 1 261.373 0 0
575 278 1 260.5 0 0
576 268 1 259.67 0 0
577 267 1 258.881 0 0
578 253 1 258.133 0 0
579 272 1 257.424 0 0
580 243 1 256.754 0 0
581 248 1 256.121 0 0
582 236 1 255.525 0 0
583 262 1 254.965 0 0
584 258 1 254.439 0 0
585 256 1 253.946 0 0
586 239 1 253.486 0 0
587 250 1 253.057 0 0
588 249 1 252.658 0 0
589 265 1 252.289 0 0
590 258 1 251.948 0 0
591 236 1 251.634 0 0
592 242 1 251.346 0 0
593 258 1 251.084 0 0
594 246 1 250.846 0 0
595 225 1 250.632 0 0
596 231 1 250.44 0 0
597 251 1 250.27 0 0
598 243 1 250.121 0 0
599 233 1 249.991 0 0
600 258 1 249.881 0 0
601 264 1 249.789 0 0
602 233 1 249.714 0 0
603 245 1 249.657 0 0
604 236 1 249.615 0 0
605 258 1 249.588 0 0
606 217 1 249.576 0 0
607 261 1 249.578 0 0
608 234 1 249.593 0 0
609 252 1 249.621 0 0
610 245 1 249.661 0 0
611 245 1 249.712 0 0
612 223 1 249.773 0 0
613 264 1 249.845 0 0
614 269 1 249.927 0 0
615 249 1 250.018 0 0
616 210 1 250.118 0 0
617 255 1 250.226 0 0
618 248 1 250.342 0 0
619 231 1 250.465 0 0
620 232 1 250.595 0 0
621 255 1 250.732 0 0
622 254 1 250.875 0 0
623 241 1 251.023 0 0
624 249 1 251.178 0 0
625 217 1 251.337 0 0
626 249 1 251.501 0 0
627 229 1 251.67 0 0
628 233 1 251.843 0 0
629 251 1 252.021 0 0
630 239 1 252.202 0 0
631 264 1 252.386 0 0
632 237 1 252.574 0 0
633 256 1 252.765 0 0
634 243 1 252.958 0 0
635 248 1 253.155 0 0
636 260 1 253.354 0 0
637 234 1 253.555 0 0
638 257 1 253.759 0 0
639 248 1 253.964 0 0
640 262 1 254.172 0 0
641 246 1 254.381 0 0
642 260 1 254.592 0 0
643 245 1 254.804 0 0
644 238 1 255.018 0 0
645 275 1 255.233 0 0
646 231 1 255.449 0 0
647 249 1 255.667 0 0
648 262 1 255.885 0 0
649 246 1 256.104 0 0
650 278 1 256.324 0 0
651 223 1 256.545 0 0
652 246 1 256.767 0 0
653 233 1 256.989 0 0
654 268 1 257.212 0 0
655 264 1 257.435 0 0
656 264 1 257.659 0 0
657 246 1 257.883 0 0
658 237 1 258.108 0 0
659 246 1 258.333 0 0
660 253 1 258.558 0 0
661 259 1 258.784 0 0
662 265 1 259.01 0 0
663 291 1 259.236 0 0
664 248 1 259.462 0 0
665 260 1 259.689 0 0
666 246 1 259.916 0 0
667 236 1 260.142 0 0
668 239 1 260.369 0 0
669 243 1 260.596 0 0
670 275 1 260.823 0 0
671 261 1 261.05 0 0
672 260 1 261.277 0 0
673 252 1 261.504 0 0
674 282 1 261.731 0 0
675 267 1 261.958 0 0
676 262 1 262.185 0 0
677 272 1 262.412 0 0
678 254 1 262.639 0 0
679 276 1 262.866 0 0
680 251 1 263.093 0 0
681 243 1 263.319 0 0
682 244 1 263.546 0 0
683 248 1 263.772 0 0
684 275 1 263.999 0 0
685 266 1 264.225 0 0
686 265 1 264.451 0 0
687 248 1 264.678 0 0
688 220 1 264.904 0 0
689 250 1 265.129 0 0
690 228 1 265.355 0 0
691 271 1 265.581 0 0
692 260 1 265.806 0 0
