# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_1(x)	2-Fe:%_2(x)	2-Fe:%_3(x)	2-Fe:%_4(x)	2-Fe:a
4.91	28	5.2915	0.00314463	6.98216e-006	1.69489e-026	0	0.00313765	1
4.92	21	4.58258	0.0027623	9.11311e-006	3.08312e-026	0	0.00275318	1
4.94	24	4.89898	0.00212961	1.54407e-005	1.01182e-025	0	0.00211417	1
4.95	27	5.19615	0.00187022	2.00444e-005	1.82543e-025	0	0.00185017	1
4.97	23	4.79583	0.00144679	3.35962e-005	5.89264e-025	0	0.0014132	1
4.98	23	4.79583	0.00127682	4.33775e-005	1.05436e-024	0	0.00123345	1
5	28	5.2915	0.00100904	7.19216e-005	3.34785e-024	0	0.000937123	1
5.02	26	5.09902	0.000827855	0.000118391	1.05139e-023	0	0.000709464	1
5.03	24	4.89898	0.000767966	0.000151486	1.85553e-023	0	0.00061648	1
5.05	28	5.2915	0.000710914	0.000246678	5.73188e-023	0	0.000464237	1
5.06	11	3.31662	0.000716249	0.00031393	1.00327e-022	0	0.000402319	1
5.08	37	6.08276	0.000807046	0.000505692	3.04845e-022	0	0.000301354	1
5.1	24	4.89898	0.00103366	0.000808731	9.16138e-022	0	0.000224927	1
5.11	26	5.09902	0.00121403	0.00101997	1.58165e-021	0	0.000194064	1
5.13	25	5	0.0017577	0.00161362	4.67544e-021	0	0.000144077	1
5.14	32	5.65685	0.00214809	0.00202411	8.00547e-021	0	0.000123977	1
5.16	17	4.12311	0.00325927	0.00316772	2.32772e-020	0	9.15542e-005	1
5.17	27	5.19615	0.00403066	0.00395209	3.95286e-020	0	7.8572e-005	1
5.19	23	4.79583	0.00617608	0.00611836	1.13055e-019	0	5.77153e-005	1
5.21	33	5.74456	0.00944616	0.00940392	3.19805e-019	0	4.22446e-005	1
5.22	30	5.47723	0.0116631	0.0116271	5.35664e-019	0	3.60938e-005	1
5.24	32	5.65685	0.0177046	0.0176783	1.49046e-018	0	2.62784e-005	1
5.25	26	5.09902	0.0217619	0.0217395	2.47596e-018	0	2.23925e-005	1
5.27	44	6.63325	0.0327139	0.0326977	6.77649e-018	0	1.62165e-005	1
5.29	32	5.65685	0.0488375	0.0488258	1.83437e-017	0	1.17022e-005	1
5.3	39	6.245	0.059513	0.059503	3.00563e-017	0	9.92756e-006	1
