# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
3.13	17	4.12311	8.9279e-074	8.9279e-074	2.3727e-131	1
3.15	16	4	4.61233e-073	4.61233e-073	2.64557e-130	1
3.17	22	4.69042	2.3646e-072	2.3646e-072	2.92193e-129	1
3.18	15	3.87298	5.3386e-072	5.3386e-072	9.67605e-129	1
3.2	16	4	2.70562e-071	2.70562e-071	1.05356e-127	1
3.21	19	4.3589	6.07347e-071	6.07347e-071	3.46414e-127	1
3.23	17	4.12311	3.04282e-070	3.04282e-070	3.71852e-126	1
3.24	15	3.87298	6.79121e-070	6.79121e-070	1.21398e-125	1
3.26	20	4.47214	3.36348e-069	3.36348e-069	1.28469e-124	1
3.28	15	3.87298	1.65309e-068	1.65309e-068	1.34667e-123	1
3.29	20	4.47214	3.65428e-068	3.65428e-068	4.34455e-123	1
3.31	22	4.69042	1.77546e-067	1.77546e-067	4.48972e-122	1
3.32	18	4.24264	3.90226e-067	3.90226e-067	1.43817e-121	1
3.34	15	3.87298	1.87425e-066	1.87425e-066	1.4652e-120	1
3.36	13	3.60555	8.93317e-066	8.93317e-066	1.47862e-119	1
3.37	26	5.09902	1.94467e-065	1.94467e-065	4.68049e-119	1
3.39	22	4.69042	9.16271e-065	9.16271e-065	4.65655e-118	1
3.4	18	4.24264	1.98319e-064	1.98319e-064	1.46354e-117	1
3.42	23	4.79583	9.23728e-064	9.23728e-064	1.43546e-116	1
3.43	18	4.24264	1.98785e-063	1.98785e-063	4.47957e-116	1
3.45	8	2.82843	9.15305e-063	9.15305e-063	4.33146e-115	1
3.47	22	4.69042	4.1823e-062	4.1823e-062	4.14865e-114	1
3.48	18	4.24264	8.91434e-062	8.91434e-062	1.27937e-113	1
3.5	26	5.09902	4.02661e-061	4.02661e-061	1.20804e-112	1
3.51	23	4.79583	8.53325e-061	8.53325e-061	3.69894e-112	1
3.53	24	4.89898	3.81035e-060	3.81035e-060	3.4433e-111	1
3.54	15	3.87298	8.02862e-060	8.02862e-060	1.04683e-110	1
3.56	21	4.58258	3.54399e-059	3.54399e-059	9.60695e-110	1
3.58	17	4.12311	1.55243e-058	1.55243e-058	8.73313e-109	1
3.59	14	3.74166	3.23983e-058	3.23983e-058	2.6237e-108	1
3.61	26	5.09902	1.40295e-057	1.40295e-057	2.35132e-107	1
3.62	24	4.89898	2.91107e-057	2.91107e-057	7.01395e-107	1
3.64	17	4.12311	1.24616e-056	1.24616e-056	6.19686e-106	1
3.66	21	4.58258	5.29374e-056	5.29374e-056	5.42319e-105	1
3.67	14	3.74166	1.08795e-055	1.08795e-055	1.59864e-104	1
3.69	23	4.79583	4.56875e-055	4.56875e-055	1.37926e-103	1
3.7	16	4	9.3356e-055	9.3356e-055	4.03689e-103	1
3.72	21	4.58258	3.87555e-054	3.87555e-054	3.43364e-102	1
3.73	24	4.89898	7.8737e-054	7.8737e-054	9.97841e-102	1
3.75	19	4.3589	3.23125e-053	3.23125e-053	8.36723e-101	1
3.77	20	4.47214	1.31592e-052	1.31592e-052	6.94987e-100	1
3.78	16	4	2.64795e-052	2.64795e-052	1.99585e-099	1
3.8	19	4.3589	1.06603e-051	1.06603e-051	1.63431e-098	1
3.81	23	4.79583	2.13281e-051	2.13281e-051	4.66005e-098	1
3.83	19	4.3589	8.48814e-051	8.48814e-051	3.76193e-097	1
3.85	17	4.12311	3.35229e-050	3.35229e-050	3.00819e-096	1
3.86	29	5.38516	6.64288e-050	6.64288e-050	8.47627e-096	1
3.88	22	4.69042	2.5935e-049	2.5935e-049	6.68207e-095	1
3.89	17	4.12311	5.10977e-049	5.10977e-049	1.86947e-094	1
3.91	17	4.12311	1.97211e-048	1.97211e-048	1.4529e-093	1
3.92	21	4.58258	3.86321e-048	3.86321e-048	4.03598e-093	1
3.94	12	3.4641	1.47394e-047	1.47394e-047	3.09228e-092	1
3.96	15	3.87298	5.58058e-047	5.58058e-047	2.34685e-091	1
3.97	24	4.89898	1.08275e-046	1.08275e-046	6.4423e-091	1
3.99	19	4.3589	4.05256e-046	4.05256e-046	4.82013e-090	1
4	15	3.87298	7.81772e-046	7.81772e-046	1.31378e-089	1
4.02	28	5.2915	2.89256e-045	2.89256e-045	9.69061e-089	1
4.04	16	4	1.06206e-044	1.06206e-044	7.08037e-088	1
4.05	16	4	2.02925e-044	2.02925e-044	1.90705e-087	1
4.07	26	5.09902	7.36555e-044	7.36555e-044	1.37366e-086	1
4.08	10	3.16228	1.39923e-043	1.39923e-043	3.67359e-086	1
4.1	16	4	5.02067e-043	5.02067e-043	2.60867e-085	1
4.11	17	4.12311	9.48304e-043	9.48304e-043	6.92688e-085	1
4.13	23	4.79583	3.36372e-042	3.36372e-042	4.8493e-084	1
4.15	16	4	1.18402e-041	1.18402e-041	3.36276e-083	1
4.16	12	3.4641	2.21503e-041	2.21503e-041	8.82382e-083	1
4.18	18	4.24264	7.70761e-041	7.70761e-041	6.03234e-082	1
4.19	15	3.87298	1.43364e-040	1.43364e-040	1.57164e-081	1
