# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
3.36	27	5.19615	9.41144e-083	9.41144e-083	2.11168e-148	1
3.37	30	5.47723	2.2011e-082	2.2011e-082	7.4143e-148	1
3.39	22	4.69042	1.19735e-081	1.19735e-081	9.07787e-147	1
3.4	23	4.79583	2.78494e-081	2.78494e-081	3.1656e-146	1
3.42	27	5.19615	1.49837e-080	1.49837e-080	3.82324e-145	1
3.43	24	4.89898	3.46599e-080	3.46599e-080	1.32414e-144	1
3.45	19	4.3589	1.8444e-079	1.8444e-079	1.5775e-143	1
3.47	17	4.12311	9.74316e-079	9.74316e-079	1.86229e-142	1
3.48	22	4.69042	2.2332e-078	2.2332e-078	6.37678e-142	1
3.5	23	4.79583	1.1668e-077	1.1668e-077	7.42574e-141	1
3.51	24	4.89898	2.65972e-077	2.65972e-077	2.52537e-140	1
3.53	28	5.2915	1.37445e-076	1.37445e-076	2.90084e-139	1
3.54	21	4.58258	3.11588e-076	3.11588e-076	9.79804e-139	1
3.56	26	5.09902	1.59256e-075	1.59256e-075	1.1102e-137	1
3.58	18	4.24264	8.08032e-075	8.08032e-075	1.24653e-136	1
3.59	23	4.79583	1.8151e-074	1.8151e-074	4.16264e-136	1
3.61	23	4.79583	9.10872e-074	9.10872e-074	4.61033e-135	1
3.62	31	5.56776	2.03489e-073	2.03489e-073	1.52908e-134	1
3.64	24	4.89898	1.01e-072	1.01e-072	1.67053e-133	1
3.66	22	4.69042	4.97643e-072	4.97643e-072	1.8085e-132	1
3.67	19	4.3589	1.1016e-071	1.1016e-071	5.93017e-132	1
3.69	22	4.69042	5.36837e-071	5.36837e-071	6.33278e-131	1
3.7	23	4.79583	1.18184e-070	1.18184e-070	2.0624e-130	1
3.72	14	3.74166	5.69644e-070	5.69644e-070	2.17251e-129	1
3.73	22	4.69042	1.24719e-069	1.24719e-069	7.02701e-129	1
3.75	18	4.24264	5.94566e-069	5.94566e-069	7.30163e-128	1
3.77	27	5.19615	2.81374e-068	2.81374e-068	7.51814e-127	1
3.78	29	5.38516	6.10426e-068	6.10426e-068	2.4042e-126	1
3.8	26	5.09902	2.85721e-067	2.85721e-067	2.44187e-125	1
3.81	31	5.56776	6.16456e-067	6.16456e-067	7.75557e-125	1
3.83	18	4.24264	2.85387e-066	2.85387e-066	7.77011e-124	1
3.85	23	4.79583	1.31155e-065	1.31155e-065	7.71402e-123	1
3.86	32	5.65685	2.80391e-065	2.80391e-065	2.42227e-122	1
3.88	30	5.47723	1.27449e-064	1.27449e-064	2.37213e-121	1
3.89	31	5.56776	2.70975e-064	2.70975e-064	7.39795e-121	1
3.91	28	5.2915	1.21822e-063	1.21822e-063	7.14641e-120	1
3.92	29	5.38516	2.57591e-063	2.57591e-063	2.21356e-119	1
3.94	32	5.65685	1.14538e-062	1.14538e-062	2.10926e-118	1
3.96	45	6.7082	5.05577e-062	5.05577e-062	1.99163e-117	1
3.97	34	5.83095	1.05928e-061	1.05928e-061	6.09906e-117	1
3.99	34	5.83095	4.62459e-061	4.62459e-061	5.68072e-116	1
4	26	5.09902	9.63628e-061	9.63628e-061	1.72778e-115	1
4.02	37	6.08276	4.16097e-060	4.16097e-060	1.58741e-114	1
4.04	39	6.245	1.78359e-059	1.78359e-059	1.44521e-113	1
4.05	34	5.83095	3.68258e-059	3.68258e-059	4.34579e-113	1
4.07	48	6.9282	1.56127e-058	1.56127e-058	3.90277e-112	1
4.08	38	6.16441	3.20587e-058	3.20587e-058	1.16557e-111	1
4.1	37	6.08276	1.3443e-057	1.3443e-057	1.03253e-110	1
4.11	56	7.48331	2.74521e-057	2.74521e-057	3.06269e-110	1
4.13	55	7.4162	1.13854e-056	1.13854e-056	2.67626e-109	1
4.15	46	6.78233	4.68746e-056	4.68746e-056	2.31737e-108	1
4.16	57	7.54983	9.48502e-056	9.48502e-056	6.79587e-108	1
4.18	45	6.7082	3.86235e-055	3.86235e-055	5.80462e-107	1
4.19	51	7.14143	7.77256e-055	7.77256e-055	1.69065e-106	1
4.21	49	7	3.13041e-054	3.13041e-054	1.42444e-105	1
4.23	50	7.07107	1.25157e-053	1.25157e-053	1.18925e-104	1
4.24	30	5.47723	2.49567e-053	2.49567e-053	3.42456e-104	1
4.26	49	7	9.86882e-053	9.86882e-053	2.82031e-103	1
4.27	47	6.85565	1.95709e-052	1.95709e-052	8.06599e-103	1
4.29	41	6.40312	7.6544e-052	7.6544e-052	6.55256e-102	1
4.3	57	7.54983	1.50962e-051	1.50962e-051	1.86124e-101	1
4.32	54	7.34847	5.83974e-051	5.83974e-051	1.49148e-100	1
4.34	27	5.19615	2.24251e-050	2.24251e-050	1.18433e-099	1
4.35	38	6.16441	4.3824e-050	4.3824e-050	3.32596e-099	1
4.37	56	7.48331	1.66448e-049	1.66448e-049	2.60515e-098	1
4.38	52	7.2111	3.23494e-049	3.23494e-049	7.2662e-098	1
4.4	41	6.40312	1.21522e-048	1.21522e-048	5.61417e-097	1
4.42	31	5.56776	4.5317e-048	4.5317e-048	4.29838e-096	1
4.43	52	7.2111	8.72711e-048	8.72711e-048	1.1853e-095	1
4.45	39	6.245	3.21885e-047	3.21885e-047	8.95179e-095	1
4.46	41	6.40312	6.16483e-047	6.16483e-047	2.45169e-094	1
4.48	45	6.7082	2.24892e-046	2.24892e-046	1.82645e-093	1
