# exported by fityk 0.8.7
#16-1-Cent:x	16-1-Cent:y	16-1-Cent:s	16-1-Cent:F(x)	16-1-Cent:%_1(x)	16-1-Cent:%_2(x)	16-1-Cent:a
5.32	23	4.79583	4.5694e-025	4.5694e-025	4.45074e-057	1
5.33	28	5.2915	7.40122e-025	7.40122e-025	9.59618e-057	1
5.35	21	4.58258	1.93122e-024	1.93122e-024	4.43202e-056	1
5.36	22	4.69042	3.11113e-024	3.11113e-024	9.49379e-056	1
5.38	21	4.58258	8.03023e-024	8.03023e-024	4.32799e-055	1
5.4	23	4.79583	2.05775e-023	2.05775e-023	1.95596e-054	1
5.41	33	5.74456	3.28508e-023	3.28508e-023	4.14461e-054	1
5.43	16	4	8.32706e-023	8.32706e-023	1.84885e-053	1
5.44	28	5.2915	1.32216e-022	1.32216e-022	3.8922e-053	1
5.46	25	5	3.31522e-022	3.31522e-022	1.71378e-052	1
5.48	20	4.47214	8.25266e-022	8.25266e-022	7.48072e-052	1
5.49	24	4.89898	1.29854e-021	1.29854e-021	1.55784e-051	1
5.51	26	5.09902	3.19756e-021	3.19756e-021	6.71203e-051	1
5.52	27	5.19615	5.00403e-021	5.00403e-021	1.38869e-050	1
5.54	30	5.47723	1.21889e-020	1.21889e-020	5.90579e-050	1
5.55	27	5.19615	1.89717e-020	1.89717e-020	1.21395e-049	1
5.57	24	4.89898	4.57123e-020	4.57123e-020	5.09585e-049	1
5.59	40	6.32456	1.09348e-019	1.09348e-019	2.12061e-048	1
5.6	18	4.24264	1.68664e-019	1.68664e-019	4.3119e-048	1
5.62	22	4.69042	3.99102e-019	3.99102e-019	1.77115e-047	1
5.63	25	5	6.12259e-019	6.12259e-019	3.57795e-047	1
5.65	19	4.3589	1.4331e-018	1.4331e-018	1.45065e-046	1
5.67	21	4.58258	3.33023e-018	3.33023e-018	5.83071e-046	1
5.68	24	4.89898	5.06283e-018	5.06283e-018	1.16516e-045	1
5.7	24	4.89898	1.16378e-017	1.16378e-017	4.6226e-045	1
5.71	32	5.65685	1.75967e-017	1.75967e-017	9.17745e-045	1
5.73	22	4.69042	4.0012e-017	4.0012e-017	3.59389e-044	1
5.74	23	4.79583	6.01714e-017	6.01714e-017	7.08879e-044	1
5.76	19	4.3589	1.35341e-016	1.35341e-016	2.74004e-043	1
5.78	29	5.38516	3.02222e-016	3.02222e-016	1.04996e-042	1
5.79	28	5.2915	4.50395e-016	4.50395e-016	2.04863e-042	1
5.81	29	5.38516	9.94879e-016	9.94879e-016	7.74854e-042	1
5.82	26	5.09902	1.47462e-015	1.47462e-015	1.50205e-041	1
5.84	30	5.47723	3.22208e-015	3.22208e-015	5.60767e-041	1
5.85	33	5.74456	4.74991e-015	4.74991e-015	1.07999e-040	1
5.87	24	4.89898	1.02665e-014	1.02665e-014	3.97978e-040	1
5.89	40	6.32456	2.20302e-014	2.20302e-014	1.45388e-039	1
5.9	47	6.85565	3.21836e-014	3.21836e-014	2.76981e-039	1
5.92	26	5.09902	6.83139e-014	6.83139e-014	9.98762e-039	1
5.93	29	5.38516	9.92583e-014	9.92583e-014	1.8904e-038	1
5.95	33	5.74456	2.08412e-013	2.08412e-013	6.72836e-038	1
5.97	38	6.16441	4.34443e-013	4.34443e-013	2.37406e-037	1
5.98	29	5.38516	6.25545e-013	6.25545e-013	4.44498e-037	1
6	40	6.32456	1.28988e-012	1.28988e-012	1.54809e-036	1
6.01	24	4.89898	1.84721e-012	1.84721e-012	2.87968e-036	1
6.03	30	5.47723	3.76781e-012	3.76781e-012	9.89948e-036	1
6.04	38	6.16441	5.36655e-012	5.36655e-012	1.8295e-035	1
6.06	44	6.63325	1.0828e-011	1.0828e-011	6.20788e-035	1
6.08	40	6.32456	2.16899e-011	2.16899e-011	2.08825e-034	1
6.09	37	6.08276	3.06149e-011	3.06149e-011	3.81758e-034	1
6.11	43	6.55744	6.06627e-011	6.06627e-011	1.26756e-033	1
6.12	48	6.9282	8.51603e-011	8.51603e-011	2.30222e-033	1
6.14	58	7.61577	1.6692e-010	1.6692e-010	7.54521e-033	1
6.16	47	6.85565	3.24813e-010	3.24813e-010	2.45146e-032	1
6.17	67	8.18535	4.51873e-010	4.51873e-010	4.40439e-032	1
6.19	45	6.7082	8.69807e-010	8.69807e-010	1.41248e-031	1
6.2	80	8.94427	1.2035e-009	1.2035e-009	2.52125e-031	1
6.22	58	7.61577	2.29158e-009	2.29158e-009	7.98092e-031	1
6.23	48	6.9282	3.15354e-009	3.15354e-009	1.41533e-030	1
6.25	49	7	5.93975e-009	5.93975e-009	4.4222e-030	1
6.27	64	8	1.11069e-008	1.11069e-008	1.36977e-029	1
6.28	68	8.24621	1.51469e-008	1.51469e-008	2.40291e-029	1
6.3	69	8.30662	2.80174e-008	2.80174e-008	7.34664e-029	1
6.31	46	6.78233	3.80015e-008	3.80015e-008	1.28041e-028	1
6.33	50	7.07107	6.95324e-008	6.95324e-008	3.86406e-028	1
6.35	52	7.2111	1.26307e-007	1.26307e-007	1.15602e-027	1
6.36	47	6.85565	1.69773e-007	1.69773e-007	1.99303e-027	1
6.38	60	7.74597	3.05063e-007	3.05063e-007	5.88543e-027	1
6.39	54	7.34847	4.07822e-007	4.07822e-007	1.00808e-026	1
6.41	52	7.2111	7.24893e-007	7.24893e-007	2.93835e-026	1
6.42	59	7.68115	9.63819e-007	9.63819e-007	5.00027e-026	1
6.44	62	7.87401	1.69465e-006	1.69465e-006	1.43861e-025	1
6.46	54	7.34847	2.95814e-006	2.95814e-006	4.1032e-025	1
6.47	57	7.54983	3.8977e-006	3.8977e-006	6.90712e-025	1
6.49	50	7.07107	6.7302e-006	6.7302e-006	1.94455e-024	1
6.5	43	6.55744	8.81979e-006	8.81979e-006	3.2521e-024	1
6.52	44	6.63325	1.50647e-005	1.50647e-005	9.03707e-024	1
6.54	53	7.28011	2.55455e-005	2.55455e-005	2.48954e-023	1
6.55	59	7.68115	3.31751e-005	3.31751e-005	4.11862e-023	1
6.57	55	7.4162	5.5648e-005	5.5648e-005	1.11992e-022	1
6.58	50	7.07107	7.18767e-005	7.18767e-005	1.84073e-022	1
6.6	65	8.06226	0.000119263	0.000119263	4.94044e-022	1
6.61	44	6.63325	0.00015321	0.00015321	8.06752e-022	1
6.63	56	7.48331	0.00025147	0.00025147	2.13727e-021	1
6.65	48	6.9282	0.000409769	0.000409769	5.61317e-021	1
6.66	47	6.85565	0.000521658	0.000521658	9.06708e-021	1
6.68	50	7.07107	0.000840855	0.000840855	2.35049e-020	1
