# exported by fityk 0.8.7
#12-X:x	12-X:y	12-X:s	12-X:F(x)	12-X:%_1(x)	12-X:%_2(x)	12-X:%_4(x)	12-X:%_6(x)	12-X:a
3.53	20	4.47214	1.07293e-046	1.50143e-152	1.01308e-209	4.66499e-206	1.07293e-046	1
3.54	19	4.3589	1.59119e-046	4.1733e-152	2.98256e-209	1.08886e-205	1.59119e-046	1
3.56	21	4.58258	3.49224e-046	3.21006e-151	2.57588e-208	5.91872e-205	3.49224e-046	1
3.58	20	4.47214	7.6429e-046	2.45469e-150	2.21404e-207	3.20757e-204	7.6429e-046	1
3.59	21	4.58258	1.12947e-045	6.77303e-150	6.47941e-207	7.45864e-204	1.12947e-045	1
3.61	18	4.24264	2.46145e-045	5.13385e-149	5.52939e-206	4.02387e-203	2.46145e-045	1
3.62	12	3.4641	3.62984e-045	1.41032e-148	1.61239e-205	9.33567e-203	3.62984e-045	1
3.64	20	4.47214	7.87701e-045	1.05963e-147	1.36614e-204	5.01379e-202	7.87701e-045	1
3.66	14	3.74166	1.70454e-044	7.91482e-147	1.15197e-203	2.68459e-201	1.70454e-044	1
3.67	13	3.60555	2.50479e-044	2.15838e-146	3.33914e-203	6.20501e-201	2.50479e-044	1
3.69	20	4.47214	5.39732e-044	1.59805e-145	2.79553e-202	3.30743e-200	5.39732e-044	1
3.7	12	3.4641	7.91446e-044	4.33877e-145	8.07422e-202	7.62734e-200	7.91446e-044	1
3.72	14	3.74166	1.6982e-043	3.18424e-144	6.7114e-201	4.04722e-199	1.6982e-043	1
3.73	9	3	2.48491e-043	8.60735e-144	1.93148e-200	9.31232e-199	2.48491e-043	1
3.75	12	3.4641	5.30929e-043	6.26159e-143	1.59399e-199	4.91901e-198	5.30929e-043	1
3.77	13	3.60555	1.13119e-042	4.52846e-142	1.3092e-198	2.59053e-197	1.13119e-042	1
3.78	13	3.60555	1.64939e-042	1.21514e-141	3.74528e-198	5.93818e-197	1.64939e-042	1
3.8	10	3.16228	3.49931e-042	8.71101e-141	3.05412e-197	3.11315e-196	3.49931e-042	1
3.81	22	4.69042	5.09157e-042	2.3272e-140	8.70576e-197	7.12005e-196	5.09157e-042	1
3.83	15	3.87298	1.07565e-041	1.65368e-139	7.0484e-196	3.71592e-195	1.07565e-041	1
3.85	18	4.24264	2.266e-041	1.16821e-138	5.67933e-195	1.93348e-194	2.266e-041	1
3.86	10	3.16228	3.28545e-041	3.09812e-138	1.60924e-194	4.40541e-194	3.28545e-041	1
3.88	12	3.4641	6.89201e-041	2.16941e-137	1.28739e-193	2.2819e-193	6.89201e-041	1
3.89	11	3.31662	9.97151e-041	5.72807e-137	3.63475e-193	5.18753e-193	9.97151e-041	1
3.91	17	4.12311	2.08291e-040	3.97584e-136	2.887e-192	2.6749e-192	2.08291e-040	1
3.92	14	3.74166	3.00722e-040	1.04516e-135	8.12183e-192	6.06722e-192	3.00722e-040	1
3.94	11	3.31662	6.25511e-040	7.19084e-135	6.40485e-191	3.11438e-191	6.25511e-040	1
3.96	13	3.60555	1.29741e-039	4.91844e-134	5.02674e-190	1.59384e-190	1.29741e-039	1
3.97	17	4.12311	1.86655e-039	1.2835e-133	1.40571e-189	3.60156e-190	1.86655e-039	1
3.99	5	2.23607	3.85515e-039	8.70197e-133	1.09536e-188	1.83485e-189	3.85515e-039	1
4	18	4.24264	5.53454e-039	2.26086e-132	3.05216e-188	4.1368e-189	5.53454e-039	1
4.02	15	3.87298	1.13826e-038	1.5194e-131	2.36129e-187	2.09802e-188	1.13826e-038	1
4.04	10	3.16228	2.33441e-038	1.01513e-130	1.81809e-186	1.06083e-187	2.33441e-038	1
4.05	9	3	3.33953e-038	2.61813e-130	5.0358e-186	2.38273e-187	3.33953e-038	1
4.07	12	3.4641	6.81992e-038	1.73387e-129	3.84961e-185	1.19935e-186	6.81992e-038	1
4.08	7	2.64575	9.73568e-038	4.4522e-129	1.06246e-184	2.68777e-186	9.73568e-038	1
4.1	22	4.69042	1.97979e-037	2.92265e-128	8.06387e-184	1.3468e-185	1.97979e-037	1
4.11	14	3.74166	2.82024e-037	7.47173e-128	2.21758e-183	3.01138e-185	2.82024e-037	1
4.13	21	4.58258	5.71084e-037	4.86182e-127	1.67107e-182	1.50214e-184	5.71084e-037	1
4.15	14	3.74166	1.15315e-036	3.14505e-126	1.25323e-181	7.47044e-184	1.15315e-036	1
4.16	15	3.87298	1.63689e-036	7.98153e-126	3.42586e-181	1.66408e-183	1.63689e-036	1
4.18	7	2.64575	3.29128e-036	5.11789e-125	2.55087e-180	8.23845e-183	3.29128e-036	1
4.19	18	4.24264	4.66206e-036	1.29311e-124	6.94815e-180	1.83101e-182	4.66206e-036	1
4.21	9	3	9.33434e-036	8.21898e-124	5.13655e-179	9.024e-182	9.33434e-036	1
4.23	11	3.31662	1.86364e-035	5.19337e-123	3.77917e-178	4.43403e-181	1.86364e-035	1
4.24	13	3.60555	2.63052e-035	1.30259e-122	1.02324e-177	9.81764e-181	2.63052e-035	1
4.26	15	3.87298	5.22973e-035	8.15861e-122	7.47458e-177	4.80222e-180	5.22973e-035	1
4.27	7	2.64575	7.3661e-035	2.03734e-121	2.01656e-176	1.06089e-179	7.3661e-035	1
4.29	12	3.4641	1.45826e-034	1.26487e-120	1.46252e-175	5.16584e-179	1.45826e-034	1
4.3	13	3.60555	2.04962e-034	3.14473e-120	3.93159e-175	1.13864e-178	2.04962e-034	1
4.32	12	3.4641	4.04046e-034	1.93527e-119	2.83101e-174	5.51942e-178	4.04046e-034	1
4.34	13	3.60555	7.94257e-034	1.184e-118	2.02879e-173	2.66742e-177	7.94257e-034	1
4.35	16	4	1.11241e-033	2.92214e-118	5.42132e-173	5.85733e-177	1.11241e-033	1
4.37	6	2.44949	2.17749e-033	1.7721e-117	3.8573e-172	2.81796e-176	2.17749e-033	1
4.38	9	3	3.04327e-033	4.35436e-117	1.02706e-171	6.17392e-176	3.04327e-033	1
4.4	8	2.82843	5.93184e-033	2.6175e-116	7.2553e-171	2.95687e-175	5.93184e-033	1
4.42	13	3.60555	1.15295e-032	1.56423e-115	5.10081e-170	1.41187e-174	1.15295e-032	1
4.43	6	2.44949	1.60569e-032	3.81549e-115	1.35006e-169	3.08165e-174	1.60569e-032	1
4.45	11	3.31662	3.10774e-032	2.26016e-114	9.42364e-169	1.46481e-173	3.10774e-032	1
4.46	13	3.60555	4.31892e-032	5.4888e-114	2.48526e-168	3.18999e-173	4.31892e-032	1
4.48	10	3.16228	8.3237e-032	3.22287e-113	1.72235e-167	1.50947e-172	8.3237e-032	1
4.49	16	4	1.15432e-031	7.79235e-113	4.52604e-167	3.27982e-172	1.15432e-031	1
4.51	14	3.74166	2.21528e-031	4.53534e-112	3.11423e-166	1.54497e-171	2.21528e-031	1
4.53	8	2.82843	4.23938e-031	2.62423e-111	2.13258e-165	7.25573e-171	4.23938e-031	1
4.54	14	3.74166	5.8584e-031	6.29855e-111	5.57062e-165	1.57062e-170	5.8584e-031	1
4.56	20	4.47214	1.11638e-030	3.6125e-110	3.7874e-164	7.34291e-170	1.11638e-030	1
4.57	16	4	1.53946e-030	8.63249e-110	9.85782e-164	1.5859e-169	1.53946e-030	1
4.59	6	2.44949	2.9212e-030	4.90772e-109	6.65429e-163	7.3809e-169	2.9212e-030	1
4.6	22	4.69042	4.01974e-030	1.1676e-108	1.72577e-162	1.59051e-168	4.01974e-030	1
4.62	8	2.82843	7.5954e-030	6.57984e-108	1.15661e-161	7.36893e-168	7.5954e-030	1
4.64	6	2.44949	1.43112e-029	3.68626e-107	7.71459e-161	3.40381e-167	1.43112e-029	1
4.65	10	3.16228	1.96236e-029	8.70592e-107	1.98882e-160	7.30726e-167	1.96236e-029	1
4.67	11	3.31662	3.68183e-029	4.83461e-106	1.31706e-159	3.36009e-166	3.68183e-029	1
4.68	12	3.4641	5.03787e-029	1.13678e-105	3.38322e-159	7.19712e-166	5.03787e-029	1
4.7	20	4.47214	9.4122e-029	6.25749e-105	2.22445e-158	3.29451e-165	9.4122e-029	1
4.72	14	3.74166	1.75351e-028	3.42431e-104	1.45558e-157	1.50354e-164	1.75351e-028	1
4.73	9	3	2.39088e-028	7.99289e-104	3.71676e-157	3.20838e-164	2.39088e-028	1
4.75	9	3	4.43542e-028	4.33564e-103	2.41469e-156	1.45762e-163	4.43542e-028	1
4.76	13	3.60555	6.03481e-028	1.00756e-102	6.1437e-156	3.10338e-163	6.03481e-028	1
4.78	15	3.87298	1.11481e-027	5.41747e-102	3.96287e-155	1.40356e-162	1.11481e-027	1
4.79	12	3.4641	1.51359e-027	1.25344e-101	1.00466e-154	2.98152e-162	1.51359e-027	1
4.81	10	3.16228	2.78423e-027	6.68043e-101	6.43404e-154	1.34236e-161	2.78423e-027	1
4.83	17	4.12311	5.1071e-027	3.53961e-100	4.1008e-153	6.0255e-161	5.1071e-027	1
4.84	13	3.60555	6.90953e-027	8.12973e-100	1.03343e-152	1.27516e-160	6.90953e-027	1
4.86	11	3.31662	1.26205e-026	4.26976e-099	6.53959e-152	5.69801e-160	1.26205e-026	1
4.87	17	4.12311	1.70385e-026	9.76364e-099	1.64212e-151	1.20313e-159	1.70385e-026	1
4.89	13	3.60555	3.09899e-026	5.08294e-098	1.03171e-150	5.35189e-159	3.09899e-026	1
4.91	22	4.69042	5.62059e-026	2.63069e-097	6.45103e-150	2.37352e-158	5.62059e-026	1
4.92	11	3.31662	7.56141e-026	5.97161e-097	1.61023e-149	4.99281e-158	7.56141e-026	1
4.94	15	3.87298	1.3656e-025	3.06353e-096	9.99638e-149	2.20428e-157	1.3656e-025	1
4.95	8	2.82843	1.83326e-025	6.92358e-096	2.48623e-148	4.62634e-157	1.83326e-025	1
