# exported by fityk 0.8.7
#7-Ti:x	7-Ti:y	7-Ti:s	7-Ti:F(x)	7-Ti:%_1(x)	7-Ti:%_2(x)	7-Ti:%_3(x)	7-Ti:%_4(x)	7-Ti:a
4.49	1205	34.7131	1116.85	1116.76	1.02101e-008	0.0888439	1.63427e-229	1
4.51	1177	34.3074	1129.16	1129.08	1.57075e-008	0.0785146	1.70851e-232	1
4.53	1192	34.5254	1135.37	1135.3	2.40562e-008	0.0692984	1.70896e-235	1
4.54	1202	34.6699	1136.15	1136.09	2.97202e-008	0.0650735	5.31614e-237	1
4.56	1219	34.9142	1133.06	1133	4.52097e-008	0.0573261	4.97665e-240	1
4.57	1305	36.1248	1129.2	1129.14	5.56657e-008	0.05378	1.49766e-241	1
4.59	1085	32.9393	1116.91	1116.86	8.41064e-008	0.0472873	1.31215e-244	1
4.6	1108	33.2866	1108.54	1108.49	1.03208e-007	0.04432	3.82009e-246	1
4.62	1126	33.5559	1087.51	1087.47	1.54888e-007	0.0388955	3.13234e-249	1
4.64	1113	33.3617	1061.05	1061.02	2.314e-007	0.0340917	2.45743e-252	1
4.65	1093	33.0606	1045.92	1045.88	2.82358e-007	0.031902	6.77009e-254	1
4.67	967	31.0966	1012.12	1012.1	4.18993e-007	0.0279089	4.9709e-257	1
4.68	1054	32.4654	993.596	993.57	5.09536e-007	0.0260915	1.32483e-258	1
4.7	911	30.1828	953.629	953.606	7.51005e-007	0.0227824	9.10393e-262	1
4.72	753	27.4408	910.271	910.251	1.10192e-006	0.0198678	5.98569e-265	1
4.73	833	28.8617	887.512	887.494	1.33251e-006	0.0185447	1.50961e-266	1
4.75	718	26.7955	840.23	840.214	1.94197e-006	0.0161416	9.28915e-270	1
4.76	807	28.4077	815.865	815.85	2.34041e-006	0.0150523	2.26641e-271	1
4.78	672	25.923	766.082	766.069	3.38785e-006	0.0130769	1.3052e-274	1
4.79	632	25.1396	740.818	740.806	4.06916e-006	0.0121829	3.08074e-276	1
4.81	618	24.8596	689.923	689.913	5.85058e-006	0.010564	1.66043e-279	1
4.83	733	27.074	639.016	639.007	8.37401e-006	0.00914859	8.56261e-283	1
4.84	452	21.2603	613.727	613.719	1.00015e-005	0.00850965	1.91252e-284	1
4.86	477	21.8403	563.792	563.785	1.42188e-005	0.00735554	9.23032e-288	1
4.87	493	22.2036	539.261	539.254	1.69249e-005	0.00683534	1.99448e-289	1
4.89	420	20.4939	491.332	491.326	2.38992e-005	0.0058971	9.00882e-293	1
4.91	376	19.3907	445.218	445.213	3.35956e-005	0.00508121	3.89336e-296	1
4.92	382	19.5448	422.941	422.936	3.97646e-005	0.00471438	7.96086e-298	1
4.94	379	19.4679	380.111	380.107	5.5521e-005	0.00405442	3.21991e-301	1
4.95	329	18.1384	359.612	359.608	6.54942e-005	0.00375816	6.36931e-303	1
4.97	288	16.9706	320.551	320.547	9.08291e-005	0.00322593	2.41103e-306	1
4.98	298	17.2627	302.021	302.017	0.000106783	0.00298736	4.61387e-308	1
5	230	15.1658	267.013	267.01	0.000147091	0.00255943	1.63457e-311	1
5.02	237	15.3948	234.774	234.771	0.000201702	0.00219002	5.54063e-315	1
5.03	227	15.0665	219.693	219.691	0.000235797	0.00202486	1.00333e-316	1
5.05	216	14.6969	191.587	191.585	0.000321162	0.00172932	3.17734e-320	1
5.06	192	13.8564	178.546	178.544	0.000374181	0.00159738	5.08888e-322	1
5.08	189	13.7477	154.43	154.428	0.000506209	0.00136165	0	1
5.1	174	13.1909	132.843	132.841	0.00068174	0.00115924	0	1
5.11	151	12.2882	122.956	122.954	0.000789821	0.0010691	0	1
5.13	159	12.6095	104.903	104.901	0.00105652	0.00090845	0	1
5.14	126	11.225	96.6972	96.6951	0.00121989	0.00083702	0	1
5.16	129	11.3578	81.825	81.8227	0.00162081	0.000709893	0	1
5.17	129	11.3578	75.1158	75.1132	0.00186511	0.000653455	0	1
5.19	93	9.64365	63.0433	63.0403	0.00246137	0.000553157	0	1
5.21	92	9.59166	52.6226	52.6189	0.00323364	0.000467661	0	1
5.22	85	9.21954	47.9787	47.9746	0.00370011	0.0004298	0	1
5.24	77	8.77496	39.7214	39.7162	0.00482827	0.000362681	0	1
5.25	52	7.2111	36.0681	36.0623	0.00550611	0.000333003	0	1
5.27	55	7.4162	29.6176	29.6102	0.00713646	0.000280467	0	1
5.29	47	6.85565	24.1892	24.1798	0.00920793	0.000235921	0	1
5.3	35	5.91608	21.8161	21.8055	0.0104416	0.000216273	0	1
5.32	44	6.63325	17.6743	17.6607	0.0133816	0.000181578	0	1
5.33	41	6.40312	15.8765	15.8612	0.0151232	0.000166298	0	1
5.35	35	5.91608	12.7606	12.7413	0.0192507	0.000139354	0	1
5.36	20	4.47214	11.418	11.3961	0.0216826	0.000127506	0	1
5.38	17	4.12311	9.1071	9.07958	0.0274142	0.000106646	0	1
5.4	21	4.58258	7.229	7.19441	0.0345049	8.90848e-005	0	1
5.41	17	4.12311	6.42971	6.39099	0.0386455	8.13819e-005	0	1
5.43	14	3.74166	5.07099	5.02261	0.0483131	6.78522e-005	0	1
5.44	13	3.60555	4.49743	4.44344	0.0539279	6.19264e-005	0	1
5.46	10	3.16228	3.5305	3.46348	0.0669641	5.15333e-005	0	1
5.48	10	3.16228	2.76773	2.68491	0.0827773	4.28302e-005	0	1
5.49	8	2.82843	2.45101	2.3591	0.0918779	3.90279e-005	0	1
5.51	1	1	1.92666	1.81382	0.112808	3.23752e-005	0	1
5.52	5	2.23607	1.712	1.58718	0.124788	2.9473e-005	0	1
5.54	6	2.44949	1.36255	1.21034	0.152183	2.44027e-005	0	1
5.55	2	1.41421	1.22256	1.05477	0.167775	2.21941e-005	0	1
5.57	3	1.73205	1.001	0.797756	0.203227	1.83411e-005	0	1
5.59	0	1	0.845152	0.600075	0.245062	1.51379e-005	0	1
5.6	2	1.41421	0.78804	0.519375	0.268651	1.37461e-005	0	1
5.62	0	1	0.709261	0.38748	0.32177	1.13238e-005	0	1
5.63	2	1.41421	0.685558	0.333996	0.351551	1.02729e-005	0	1
5.65	2	1.41421	0.66537	0.247139	0.418222	8.44661e-006	0	1
5.67	1	1	0.677176	0.181871	0.495298	6.93621e-006	0	1
5.68	2	1.41421	0.693802	0.155698	0.538098	6.28255e-006	0	1
5.7	0	1	0.746615	0.113642	0.632969	5.14934e-006	0	1
5.71	2	1.41421	0.782236	0.0968887	0.685343	4.65965e-006	0	1
5.73	0	1	0.870881	0.0701391	0.800738	3.81192e-006	0	1
5.74	0	1	0.923624	0.0595541	0.864066	3.44614e-006	0	1
