Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
263.50	-4.0057
263.33	-4.0057
263.17	-4.0057
263.00	-4.0057
262.83	-4.0057
262.67	-4.0060
262.50	-4.0066
262.33	-4.0072
262.17	-4.0081
262.00	-4.0091
261.83	-4.0100
261.67	-4.0106
261.50	-4.0109
261.33	-4.0109
261.17	-4.0106
261.00	-4.0106
260.83	-4.0103
260.67	-4.0106
260.50	-4.0109
260.33	-4.0115
260.17	-4.0121
260.00	-4.0134
259.83	-4.0146
259.67	-4.0162
259.50	-4.0177
259.33	-4.0195
259.17	-4.0214
259.00	-4.0229
258.83	-4.0251
258.67	-4.0266
258.50	-4.0285
258.33	-4.0304
258.17	-4.0319
258.00	-4.0334
257.83	-4.0347
257.67	-4.0359
257.50	-4.0371
257.33	-4.0381
257.17	-4.0390
257.00	-4.0399
256.83	-4.0405
256.67	-4.0415
256.50	-4.0421
256.33	-4.0427
256.17	-4.0436
256.00	-4.0442
255.83	-4.0449
255.67	-4.0458
255.50	-4.0464
255.33	-4.0473
255.17	-4.0479
255.00	-4.0489
254.83	-4.0498
254.67	-4.0507
254.50	-4.0520
254.33	-4.0529
254.17	-4.0538
254.00	-4.0550
253.83	-4.0560
253.67	-4.0569
253.50	-4.0578
253.33	-4.0588
253.17	-4.0597
253.00	-4.0606
252.83	-4.0615
252.67	-4.0625
252.50	-4.0631
252.33	-4.0640
252.17	-4.0646
252.00	-4.0655
251.83	-4.0665
251.67	-4.0674
251.50	-4.0683
251.33	-4.0692
251.17	-4.0702
251.00	-4.0711
250.83	-4.0720
250.67	-4.0730
250.50	-4.0739
250.33	-4.0748
250.17	-4.0754
250.00	-4.0763
249.83	-4.0770
249.67	-4.0776
249.50	-4.0782
249.33	-4.0788
249.17	-4.0797
249.00	-4.0804
248.83	-4.0813
248.67	-4.0819
248.50	-4.0831
248.33	-4.0838
248.17	-4.0847
248.00	-4.0859
247.83	-4.0865
247.67	-4.0875
247.50	-4.0881
247.33	-4.0890
247.17	-4.0899
247.00	-4.0905
246.83	-4.0915
246.67	-4.0921
246.50	-4.0930
246.33	-4.0936
246.17	-4.0943
246.00	-4.0949
245.83	-4.0955
245.67	-4.0961
245.50	-4.0970
245.33	-4.0976
245.17	-4.0983
245.00	-4.0989
244.83	-4.0995
244.67	-4.1004
244.50	-4.1010
244.33	-4.1017
244.17	-4.1026
244.00	-4.1032
243.83	-4.1038
243.67	-4.1041
243.50	-4.1047
