Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
202.84	1.7151
203.00	1.7139
203.17	1.7130
203.34	1.7120
203.50	1.7108
203.67	1.7099
203.84	1.7093
204.00	1.7083
204.17	1.7074
204.34	1.7068
204.50	1.7059
204.67	1.7049
204.84	1.7043
205.00	1.7037
205.17	1.7028
205.34	1.7018
205.50	1.7009
205.67	1.7000
205.84	1.6991
206.00	1.6978
206.17	1.6969
206.34	1.6957
206.50	1.6947
206.67	1.6938
206.84	1.6929
207.00	1.6920
207.17	1.6910
207.34	1.6901
207.50	1.6892
207.67	1.6883
207.84	1.6876
208.00	1.6870
208.17	1.6864
208.34	1.6861
208.50	1.6855
208.67	1.6849
208.84	1.6843
209.00	1.6836
209.17	1.6827
209.34	1.6818
209.50	1.6805
209.67	1.6793
209.84	1.6781
210.00	1.6768
210.17	1.6756
210.34	1.6741
210.50	1.6728
210.67	1.6716
210.84	1.6707
211.00	1.6694
211.17	1.6685
211.34	1.6676
211.50	1.6670
211.67	1.6663
211.84	1.6660
212.00	1.6657
212.17	1.6654
212.34	1.6654
212.50	1.6654
212.67	1.6654
212.84	1.6654
213.00	1.6654
213.17	1.6651
213.34	1.6651
213.50	1.6648
213.67	1.6645
213.84	1.6642
214.00	1.6639
214.17	1.6636
214.34	1.6633
214.50	1.6630
214.67	1.6630
214.84	1.6626
215.00	1.6626
215.17	1.6626
215.34	1.6623
215.50	1.6623
215.67	1.6620
215.84	1.6620
216.00	1.6617
216.17	1.6614
216.34	1.6611
216.50	1.6605
216.67	1.6602
216.84	1.6596
217.00	1.6592
217.17	1.6589
217.34	1.6583
217.50	1.6577
217.67	1.6571
217.84	1.6565
218.00	1.6559
218.17	1.6552
218.34	1.6543
218.50	1.6534
218.67	1.6525
218.84	1.6515
219.00	1.6506
219.17	1.6494
219.34	1.6481
219.50	1.6472
219.67	1.6460
219.84	1.6450
220.00	1.6438
220.17	1.6426
220.34	1.6413
220.50	1.6401
220.67	1.6389
220.84	1.6376
221.00	1.6367
221.17	1.6355
221.34	1.6346
221.50	1.6336
221.67	1.6327
221.84	1.6318
222.00	1.6308
222.17	1.6299
222.34	1.6290
222.50	1.6278
222.67	1.6268
222.84	1.6256
223.00	1.6244
223.17	1.6231
223.34	1.6216
223.50	1.6204
223.67	1.6188
223.84	1.6176
224.00	1.6163
224.17	1.6154
224.34	1.6142
224.50	1.6133
224.67	1.6123
224.84	1.6117
225.00	1.6111
225.17	1.6105
225.34	1.6099
225.50	1.6092
225.67	1.6086
225.84	1.6080
226.00	1.6071
226.17	1.6065
226.34	1.6058
226.50	1.6049
226.67	1.6043
226.84	1.6034
227.00	1.6024
227.17	1.6015
227.34	1.6006
227.50	1.5997
227.67	1.5987
227.84	1.5978
228.00	1.5969
228.17	1.5960
228.34	1.5950
228.50	1.5941
228.67	1.5932
228.84	1.5923
229.00	1.5913
229.17	1.5907
229.34	1.5898
229.50	1.5889
229.67	1.5879
229.84	1.5870
230.00	1.5861
230.17	1.5855
230.34	1.5845
230.50	1.5836
230.67	1.5830
230.84	1.5824
231.00	1.5815
231.17	1.5808
231.34	1.5802
231.50	1.5796
231.67	1.5790
231.84	1.5787
232.00	1.5781
232.17	1.5778
232.34	1.5771
232.50	1.5768
232.67	1.5762
232.84	1.5759
233.00	1.5753
233.17	1.5747
233.34	1.5744
233.50	1.5737
233.67	1.5731
233.84	1.5725
234.00	1.5719
234.17	1.5716
234.34	1.5710
234.50	1.5707
234.67	1.5703
234.84	1.5700
235.00	1.5694
235.17	1.5691
235.34	1.5688
235.50	1.5682
235.67	1.5679
235.84	1.5673
236.00	1.5669
236.17	1.5663
236.34	1.5660
236.50	1.5654
236.67	1.5648
236.84	1.5642
237.00	1.5636
237.17	1.5626
237.34	1.5620
237.50	1.5614
237.67	1.5605
237.84	1.5598
238.00	1.5589
238.17	1.5583
238.34	1.5574
238.50	1.5568
238.67	1.5558
238.84	1.5552
239.00	1.5546
239.17	1.5540
239.34	1.5534
239.50	1.5527
239.67	1.5521
239.84	1.5518
240.00	1.5512
240.17	1.5509
240.34	1.5506
240.50	1.5503
240.67	1.5503
240.84	1.5497
241.00	1.5494
241.17	1.5487
241.34	1.5478
241.50	1.5472
241.67	1.5463
241.84	1.5456
242.00	1.5447
242.17	1.5441
242.34	1.5435
242.50	1.5429
242.67	1.5423
242.84	1.5416
243.00	1.5413
243.17	1.5407
243.34	1.5407
243.50	1.5404
243.67	1.5401
243.84	1.5398
244.00	1.5398
244.17	1.5395
244.34	1.5392
