# exported by fityk 0.8.7
#13-X:x	13-X:y	13-X:s	13-X:F(x)	13-X:%_1(x)	13-X:%_2(x)	13-X:%_3(x)	13-X:%_4(x)	13-X:%_6(x)	13-X:a
5.33	66	8.12404	72.698	4.32686e-022	1.38688e-271	72.698	1.35271e-043	8.1387e-316	1
5.35	46	6.78233	69.0485	9.96012e-022	1.93364e-270	69.0485	4.32727e-043	1.05761e-314	1
5.36	44	6.63325	67.2493	1.50761e-021	7.20517e-270	67.2493	7.7206e-043	3.80608e-314	1
5.38	56	7.48331	63.7076	3.43794e-021	9.96283e-269	63.7076	2.44561e-042	4.91257e-313	1
5.4	59	7.68115	60.2479	7.79086e-021	1.37e-267	60.2479	7.69617e-042	6.31217e-312	1
5.41	42	6.48074	58.5511	1.17006e-020	5.0698e-267	58.5511	1.36191e-041	2.2588e-311	1
5.43	46	6.78233	55.2277	2.62671e-020	6.91401e-266	55.2277	4.24389e-041	2.88275e-310	1
5.44	59	7.68115	53.6026	3.92639e-020	2.548e-265	53.6026	7.47313e-041	1.0281e-309	1
5.46	43	6.55744	50.4289	8.73201e-020	3.44619e-264	50.4289	2.30592e-040	1.30324e-308	1
5.48	32	5.65685	47.3609	1.92981e-019	4.63531e-263	47.3609	7.06863e-040	1.64457e-307	1
