# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
3.37	19	4.3589	3.86476e-089	3.86476e-089	3.77202e-101	1
3.39	19	4.3589	2.41769e-088	2.41769e-088	2.18809e-100	1
3.4	24	4.89898	6.02897e-088	6.02897e-088	5.25712e-100	1
3.42	19	4.3589	3.72676e-087	3.72676e-087	3.01989e-099	1
3.43	28	5.2915	9.23802e-087	9.23802e-087	7.22025e-099	1
3.45	15	3.87298	5.64257e-086	5.64257e-086	4.10723e-098	1
3.47	29	5.38516	3.41913e-085	3.41913e-085	2.32121e-097	1
3.48	20	4.47214	8.39146e-085	8.39146e-085	5.50473e-097	1
3.5	17	4.12311	5.02442e-084	5.02442e-084	3.08074e-096	1
3.51	12	3.4641	1.22578e-083	1.22578e-083	7.2703e-096	1
3.53	11	3.31662	7.25221e-083	7.25221e-083	4.02925e-095	1
3.54	17	4.12311	1.75874e-082	1.75874e-082	9.46235e-095	1
3.56	18	4.24264	1.02818e-081	1.02818e-081	5.19307e-094	1
3.58	27	5.19615	5.96318e-081	5.96318e-081	2.83151e-093	1
3.59	19	4.3589	1.43181e-080	1.43181e-080	6.59559e-093	1
3.61	22	4.69042	8.20544e-080	8.20544e-080	3.56124e-092	1
3.62	23	4.79583	1.95845e-079	1.95845e-079	8.25492e-092	1
3.64	14	3.74166	1.10902e-078	1.10902e-078	4.41381e-091	1
3.66	28	5.2915	6.23029e-078	6.23029e-078	2.34467e-090	1
3.67	24	4.89898	1.47229e-077	1.47229e-077	5.39083e-090	1
3.69	28	5.2915	8.17281e-077	8.17281e-077	2.83582e-089	1
3.7	21	4.58258	1.91983e-076	1.91983e-076	6.48825e-089	1
3.72	25	5	1.05305e-075	1.05305e-075	3.3799e-088	1
3.73	30	5.47723	2.45893e-075	2.45893e-075	7.69537e-088	1
3.75	23	4.79583	1.33273e-074	1.33273e-074	3.96971e-087	1
3.77	31	5.56776	7.16604e-074	7.16604e-074	2.03449e-086	1
3.78	15	3.87298	1.65672e-073	1.65672e-073	4.59455e-086	1
